run,generation,populationFitness,bestTree,action,structured
0,9,0.536985,0.730408,1,1
0,10,0.540991,0.730408,1,1
0,11,0.540991,0.730408,0,1
0,12,0.540991,0.730408,1,1
0,13,0.540991,0.730408,2,1
0,14,0.547913,0.730408,1,1
0,15,0.547913,0.730408,0,1
0,16,0.547913,0.730408,1,1
0,17,0.547913,0.730408,1,1
0,18,0.547913,0.730408,1,1
0,19,0.547913,0.730408,0,1
0,20,0.549009,0.730408,1,1
0,21,0.549009,0.730408,1,1
0,22,0.549009,0.730408,2,1
0,23,0.550332,0.730408,2,1
0,24,0.553848,0.730408,1,1
0,25,0.553848,0.730408,0,1
0,26,0.556035,0.730408,2,1
0,27,0.559603,0.730408,1,1
0,28,0.569399,0.738367,1,1
0,29,0.575528,0.738367,0,1
0,30,0.578087,0.738367,0,1
0,31,0.578087,0.738367,1,1
0,32,0.578233,0.738367,1,1
0,33,0.583067,0.738367,2,1
0,34,0.582950,0.738367,1,1
0,35,0.582950,0.738367,0,1
0,36,0.589679,0.738367,0,1
0,37,0.599405,0.738367,1,1
0,38,0.609819,0.738367,1,1
0,39,0.613738,0.758367,1,1
0,40,0.629335,0.758367,0,1
0,41,0.629394,0.758367,1,1
0,42,0.623370,0.758367,1,1
0,43,0.635784,0.758367,2,1
0,44,0.635417,0.758367,1,1
0,45,0.633510,0.758367,1,1
0,46,0.648945,0.776735,1,1
0,47,0.644262,0.776735,1,1
0,48,0.656052,0.776735,0,1
0,49,0.662408,0.776735,2,1
0,50,0.679347,0.776735,1,1
0,51,0.689796,0.776735,1,1
0,52,0.701586,0.776735,1,1
0,53,0.708443,0.776735,2,1
0,54,0.695283,0.776735,1,1
0,55,0.709913,0.776735,2,1
0,56,0.715673,0.776735,1,1
0,57,0.709090,0.776735,1,1
0,58,0.718659,0.776735,0,1
0,59,0.729114,0.776735,0,1
0,60,0.732624,0.776735,0,1
0,61,0.726041,0.776735,1,1
0,62,0.722525,0.776735,2,1
0,63,0.723050,0.776735,0,1
0,64,0.723050,0.776735,1,1
0,65,0.732671,0.776735,1,1
0,66,0.723767,0.776735,1,1
0,67,0.726461,0.776735,1,1
0,68,0.733988,0.776735,2,1
0,69,0.719796,0.776735,1,1
0,70,0.721190,0.776735,0,1
0,71,0.729289,0.776735,2,1
0,72,0.729813,0.776735,0,1
0,73,0.736770,0.776735,0,1
0,74,0.745201,0.776735,1,1
0,75,0.745592,0.776735,1,1
0,76,0.754595,0.776735,0,1
0,77,0.763026,0.776735,1,1
0,78,0.763930,0.776735,2,1
0,79,0.766134,0.776735,0,1
0,80,0.767184,0.776735,2,1
0,81,0.760327,0.776735,1,1
0,82,0.745563,0.776735,1,1
0,83,0.739843,0.776735,2,1
0,84,0.724933,0.776735,1,1
0,85,0.733219,0.776735,1,1
0,86,0.734268,0.776735,0,1
0,87,0.734513,0.776735,1,1
0,88,0.742799,0.776735,2,1
0,89,0.750367,0.776735,1,1
0,90,0.750746,0.776735,1,1
0,91,0.735592,0.776735,1,1
0,92,0.729726,0.776735,2,1
